rep,subj_n,b1,parameter,Estimate,Est.Error,Q2.5,Q97.5
6,200,1.39,Intercept,-0.4993055347036738,0.3651794513239483,-1.2323957700000001,0.23583978599999914
6,200,1.39,groupembodied,1.263636665577125,0.23906747229518177,0.78396495575,1.727742335
6,200,1.39,pre_score_z,0.28165598777345374,0.09074114641407532,0.09980852602500001,0.4567208585
7,100,0.15,Intercept,-0.2719377907315649,0.4753926660459588,-1.2127638375,0.6881581327499987
7,100,0.15,groupembodied,-0.10024864904905975,0.2911364929055219,-0.668844156,0.4756170559999994
7,100,0.15,pre_score_z,0.19848502612396224,0.1189845924497698,-0.033025620199999994,0.4316457564999999
7,100,0.4,Intercept,-0.44330305515456864,0.4071976296144173,-1.2830319975,0.3355877497499997
7,100,0.4,groupembodied,0.6281090303669312,0.2394746415489095,0.15266974675000006,1.1054209324999997
7,100,0.4,pre_score_z,0.35561129301787,0.1216578582642947,0.118069871,0.592305903
7,100,0.87,Intercept,-0.567562879217047,0.4387778228004956,-1.4491750824999998,0.29798412849999995
7,100,0.87,groupembodied,0.6355329203204813,0.2918496978661854,0.046854407325000055,1.1963863649999997
7,100,0.87,pre_score_z,0.487454090702825,0.14670886595899693,0.20213427275,0.7788923087499999
7,100,1.39,Intercept,-0.5841068696232817,0.597851932237799,-1.8074602075,0.628339816
7,100,1.39,groupembodied,1.069519381032575,0.3236457217136633,0.40006682250000003,1.680977722499999
7,100,1.39,pre_score_z,0.3000148218379881,0.1349063781518834,0.03182251695000002,0.5668832247499999
7,150,0.15,Intercept,-0.44355712838883266,0.5629088756480264,-1.5695708775000001,0.6875340877499996
7,150,0.15,groupembodied,0.31846120874510486,0.2756913768642503,-0.21539806774999998,0.8526796332499991
7,150,0.15,pre_score_z,0.434799358994875,0.10993061128188214,0.22463720050000002,0.65521212475
7,150,0.4,Intercept,-0.5111164723390713,0.667143595995726,-1.8357466424999997,0.7874951177499994
7,150,0.4,groupembodied,0.6306661695034375,0.2724412701037079,0.08518250477500004,1.1590018525
7,150,0.4,pre_score_z,0.1383699517194875,0.12676340059903338,-0.11045131999999999,0.38477912325
7,150,0.87,Intercept,-0.3474816558278011,0.5151924273813241,-1.3788442925000002,0.7105925504999997
7,150,0.87,groupembodied,0.4814117729571427,0.22087595822195508,0.04898907322500001,0.9187059009999999
