pid,item_id,group,pre_score_z,correct
P092,17,embodied,-0.6083295184152829,0
P092,1,embodied,-0.6083295184152829,0
P092,26,embodied,-0.6083295184152829,1
P092,25,embodied,-0.6083295184152829,0
P092,19,embodied,-0.6083295184152829,0
P093,22,embodied,0.36088532406084306,0
P093,23,embodied,0.36088532406084306,1
P093,28,embodied,0.36088532406084306,0
P093,17,embodied,0.36088532406084306,0
P093,1,embodied,0.36088532406084306,1
P093,26,embodied,0.36088532406084306,1
P093,25,embodied,0.36088532406084306,1
P093,19,embodied,0.36088532406084306,0
P095,22,control,-0.6083295184152829,1
P095,23,control,-0.6083295184152829,1
P095,28,control,-0.6083295184152829,0
P095,17,control,-0.6083295184152829,0
P095,1,control,-0.6083295184152829,1
P095,26,control,-0.6083295184152829,1
P095,25,control,-0.6083295184152829,1
P095,19,control,-0.6083295184152829,0
P097,22,control,0.36088532406084306,1
P097,23,control,0.36088532406084306,1
P097,28,control,0.36088532406084306,0
P097,17,control,0.36088532406084306,0
P097,1,control,0.36088532406084306,0
P097,26,control,0.36088532406084306,0
P097,25,control,0.36088532406084306,0
P097,19,control,0.36088532406084306,1
P098,22,embodied,-1.092936939653346,1
P098,23,embodied,-1.092936939653346,1
P098,28,embodied,-1.092936939653346,1
P098,17,embodied,-1.092936939653346,0
P098,1,embodied,-1.092936939653346,1
P098,26,embodied,-1.092936939653346,1
P098,25,embodied,-1.092936939653346,1
P098,19,embodied,-1.092936939653346,1
P100,22,control,0.8454927452989061,1
P100,23,control,0.8454927452989061,1
P100,28,control,0.8454927452989061,1
P100,17,control,0.8454927452989061,0
P100,1,control,0.8454927452989061,1
P100,26,control,0.8454927452989061,1
P100,25,control,0.8454927452989061,1
P100,19,control,0.8454927452989061,1
P101,22,embodied,-0.6083295184152829,0
P101,23,embodied,-0.6083295184152829,1
P101,28,embodied,-0.6083295184152829,0
P101,17,embodied,-0.6083295184152829,0
P101,1,embodied,-0.6083295184152829,0
P101,26,embodied,-0.6083295184152829,1
P101,25,embodied,-0.6083295184152829,1
P101,19,embodied,-0.6083295184152829,1
P104,22,embodied,-0.6083295184152829,1
P104,23,embodied,-0.6083295184152829,1
P104,28,embodied,-0.6083295184152829,0
P104,17,embodied,-0.6083295184152829,1
P104,1,embodied,-0.6083295184152829,0
P104,26,embodied,-0.6083295184152829,0
P104,25,embodied,-0.6083295184152829,1
P104,19,embodied,-0.6083295184152829,0
P103,22,control,1.330100166536969,1
P103,23,control,1.330100166536969,0
P103,28,control,1.330100166536969,1
P103,17,control,1.330100166536969,0
P103,1,control,1.330100166536969,1
P103,26,control,1.330100166536969,1
P103,25,control,1.330100166536969,0
P103,19,control,1.330100166536969,0
P105,22,control,-0.6083295184152829,1
P105,23,control,-0.6083295184152829,1
P105,28,control,-0.6083295184152829,0
P105,17,control,-0.6083295184152829,0
P105,1,control,-0.6083295184152829,1
P105,26,control,-0.6083295184152829,0
P105,25,control,-0.6083295184152829,0
P105,19,control,-0.6083295184152829,0
P108,22,embodied,-0.6083295184152829,0
P108,23,embodied,-0.6083295184152829,1
P108,28,embodied,-0.6083295184152829,0
P108,17,embodied,-0.6083295184152829,0
P108,1,embodied,-0.6083295184152829,0
P108,26,embodied,-0.6083295184152829,1
P108,25,embodied,-0.6083295184152829,0
P108,19,embodied,-0.6083295184152829,1
P111,22,embodied,-0.6083295184152829,0
P111,23,embodied,-0.6083295184152829,0
P111,28,embodied,-0.6083295184152829,0
P111,17,embodied,-0.6083295184152829,0
P111,1,embodied,-0.6083295184152829,0
P111,26,embodied,-0.6083295184152829,0
P111,25,embodied,-0.6083295184152829,0
P111,19,embodied,-0.6083295184152829,0
P109,22,control,-0.6083295184152829,1
P109,23,control,-0.6083295184152829,1
P109,28,control,-0.6083295184152829,0
P109,17,control,-0.6083295184152829,0
P109,1,control,-0.6083295184152829,1
P109,26,control,-0.6083295184152829,1
P109,25,control,-0.6083295184152829,1
P109,19,control,-0.6083295184152829,1
P115,22,control,-0.12372209717721992,1
P115,23,control,-0.12372209717721992,1
P115,28,control,-0.12372209717721992,0
P115,17,control,-0.12372209717721992,0
